Frameworx Application,Category,Application Identifier,Overview,Frameworx Function (contained by),Frameworx Domain (Horizontal),Maturity Level,Frameworx Status,LV1,LV2,LV3,LV4,LV5,LEVEL,PARENT,Status
Service Address Validation,(4) TAM Application Type,6.3.9.3.1,Service Address Validation applications validate the service address against appropriate address databases.,"Service address validation
Service availability validation",Service Domain,4,Released,6,3,9,3,1,4,6.3.9.3,1
Service Availability Validation,(4) TAM Application Type,6.3.9.3.2,Service Availability Validation applications validate that the service is available and supportable at the requested location.,"Service address validation
Service availability validation",Service Domain,4,Released,6,3,9,3,2,4,6.3.9.3,1
Service Termination Points Determination,(4) TAM Application Type,6.3.9.3.3,Service Termination Points Determination applications determine the appropriate service provider entry point.,Service Termination Points Determination,Service Domain,4,Released,6,3,9,3,3,4,6.3.9.3,1
Determine Access Provider,(4) TAM Application Type,6.3.9.3.4,Determine Access Provider applications identify and select available access providers or access technology at the given location.,Determine Access Provider,Service Domain,4,Released,6,3,9,3,4,4,6.3.9.3,1
Determine Delivery Interval,(4) TAM Application Type,6.3.9.3.5,The Determine Delivery Interval applications calculate the service delivery due date.,Determine Delivery Interval,Service Domain,4,Released,6,3,9,3,5,4,6.3.9.3,1
Service Problem Management,(1) TAM Application Type,6.5,"Service Problem Management applications are responsible for receiving service affecting customer problems as well as network troubles/faults, relating the various problems, and resolving them in an efficient manner. The present operational status is made available as notifications for immediate action in case of significant operational deviation.",,Service Domain,4,Released,6,5,,,,1,6,1
Service Problem Reception,(2) TAM Application Type,6.5.1,Service Problem Reception applications provide appropriate functionality to receive problems that are perceived to be service affecting.,Service Problem Reception,Service Domain,4,Released,6,5,1,,,2,6.5,1
Service Problem Monitoring,(2) TAM Application Type,6.5.2,Service Problem Monitoring applications provide the necessary functionality to continuously monitor the present operational status of the provider's services. The present operational status is made available as notifications for immediate action in case of significant operational deviation.,"Service Problem Monitoring Collection
Service Problem Monitoring Reporting
Service Problem SLA Monitoring",Service Domain,4,Released,6,5,2,,,2,6.5,1
Service Problem Analysis,(2) TAM Application Type,6.5.3,"Service Problem Analysis applications provide necessary functionality to diagnose the service problem.  The application will also correlate customer problems with resource troubles, and prioritize the problem appropriately. Service problems impacting the availability of customer services will notify operations applications for immediate manual or automatic mitigation or correction.","Service Problem Configuration Verification
Service Problem Prioritization
Service Problem Test Analysis
Service Problem Test Issuing
Service Root Problem Analysis",Service Domain,4,Released,6,5,3,,,2,6.5,1
Service Problem Correction & Resolution,(2) TAM Application Type,6.5.4,Service Problem Correction & Resolution applications provide the necessary functionality to resolve the serve problem back to a normal operational state as efficiently as possible.,"Service Problem Correction & Resolution
Service Problem Correction Reporting",Service Domain,4,Released,6,5,4,,,2,6.5,1
Service Problem Tracking & Management,(2) TAM Application Type,6.5.5,Service Problem Tracking & Management applications provide necessary functionality to assure that service problems are remedied as efficiently as possible.,Service Problem Tracking & Management,Service Domain,4,Released,6,5,5,,,2,6.5,1
Service Problem Reporting,(2) TAM Application Type,6.5.6,Service Problem Reporting applications provide the necessary functionality to report on the status of open service problems.,Service Problem Reporting,Service Domain,4,Released,6,5,6,,,2,6.5,1
Service Problem Model Establishment,(2) TAM Application Type,6.5.7,Service Problem Monitoring Model Establishment applications provide the necessary functionality to establish what will be monitored and how it will be monitored in terms of service problem.,"Service Problem Monitoring Model Data Definition
Service Problem Monitoring Model Data Integration
Service Problem Monitoring Model Definition
Service Problem Monitoring Model Establishment",Service Domain,4,,6,5,7,,,2,6.5,2
Service Performance Management,(1) TAM Application Type,6.7,"Service Performance Management Applications monitor, analyze, and report on the end-end service performance. This can include a real-time, end-to-end view to ensure that each service is functioning correctly as well as a historical view. These applications build on the Resource Performance data and active end-end service performance test data to provide a view of a service.These applications provide a key input to determine the Quality of Service.",,Service Domain,4,Released,6,7,,,,1,6,1
Service Performance Monitoring,(2) TAM Application Type,6.7.1,"Service Performance Monitoring applications provide the necessary functionality to continuously collect data and monitor the performance of the service provider's services.The collected data is logged and made available for further analysis, and present performance made available as notifications for immediate action in case of significant deviation.","Service Data aggregation and trending
Service performance data collection
Service performance event correlation and filtering
Service performance monitoring",Service Domain,4,Released,6,7,1,,,2,6.7,1
Service Performance Analysis,(2) TAM Application Type,6.7.2,"Service Performance Analysis applications provide the necessary functionality to continuously analyze the performance of the various service providers’ services.The analyzed data is logged and made available for reporting, and present analysis results made available as notifications for immediate action in case of significant deviation.","Service Performance Data Analyzing
Service Performance Root Cause analysis",Service Domain,4,Released,6,7,2,,,2,6.7,1
Service Performance Reporting,(2) TAM Application Type,6.7.3,Service Performance Reporting provides the necessary functionality required togenerate reports about the performance of the service provider's services.,Service Performance Reporting,Service Domain,4,Released,6,7,3,,,2,6.7,1
Service Test Management,(1) TAM Application Type,6.8,"Service Test Management applications are focused on ensuring that the various services are working properly. The service test applications are part of both the fulfillment and the assurance process. In the fulfillment process, the service test is responsible for ensuring that the assigned service works as designed, while on the assurance side the service testing applications are responsible for service trouble/problem isolation. As part of the testing process, these applications also interface with the trouble process, which can trigger an automatic test.",,Service Domain,4,Released,6,8,,,,1,6,1
Service Test Strategy and Policy Management,(2) TAM Application Type,6.8.1,Service Test Strategy and Policy Management applications provides the necessary functionality to manage the rules that define the strategies for conducting various service tests.,"Service Test result interpretation policies management
Test Strategy Management",Service Domain,4,Released,6,8,1,,,2,6.8,1
Service Test Lifecycle Management,(2) TAM Application Type,6.8.2,Service Test Lifecycle Management applications provides the necessary functionality to manage the end-to-end lifecycle of a test of a resource.,"End-to-End Test Management
Management of service testing rules
Reporting of service test results
Retrieval of appropriate service inventory data
Service end to end test configuration Setting and Tearing
Service end to end test execution
Service end to end test results interpretation
Service end to end test scheduling
Service test resources acquisition and management",Service Domain,4,Released,6,8,2,,,2,6.8,1
Service Test Command and Control,(2) TAM Application Type,6.8.3,"The Service Test Command and Control application provides the necessary functionality to access, command, and control the devices required for service testing.",Test Access and Control,Service Domain,4,Released,6,8,3,,,2,6.8,1
Service Test Services,(2) TAM Application Type,6.8.4,Service Test Services applications provides the means to access the testing capabilities.,"Automated invocation of service test services
Manual service test services initiation and control",Service Domain,4,Released,6,8,4,,,2,6.8,1
Service Quality Management,(1) TAM Application Type,6.9,"Service Quality Management (SQM) applications are designed to allow operators to monitor and manage the levels of service they are delivering. Service quality measurements are collected and compared against established quality indicators, and the conclusions made available to interested parties.",,Service Domain,4,Released,6,9,,,,1,6,1
Service Quality Model Establishment,(2) TAM Application Type,6.9.1,Service Quality Model Establishment applications provide the necessary functionality to establish what will be monitored and how it will be monitored in terms of service quality.,"Quality Data Sources Establishment
Quality Indicator Establishment
Service Quality Model Definition",Service Domain,4,Released,6,9,1,,,2,6.9,1
Service Quality Collection & Monitoring,(2) TAM Application Type,6.9.2,"Service Quality Collection & Monitoring applications provide the necessary functionality to continuously collect and monitor service quality as determined by Service Quality Model Establishment.The collected data is logged and made available for further analysis, and present quality level made available as notifications for immediate action in case of significant deviation.Collects service quality related information from established sources, including service performance management, service problem management, third parties, and customers",Service Quality Collection & Monitoring,Service Domain,4,Released,6,9,2,,,2,6.9,1
Service Quality Analysis,(2) TAM Application Type,6.9.3,"Service Quality Analysis applications continuously analyze and evaluate the quality of services being delivered by the service provider. The analyzed data is logged and made available for reporting, and present analysis results made available as notifications for immediate action in case of significant deviation.","Quality Analysis conclusions
Service Quality Analyzing
Service Quality Comparison
Service Quality Correlation
Service Quality Trending",Service Domain,4,Released,6,9,3,,,2,6.9,1
Service Quality Reporting,(2) TAM Application Type,6.9.4,Service Quality Reporting applications generate various reports on service quality and makes them available for consumption.,Service Quality Reporting,Service Domain,4,Released,6,9,4,,,2,6.9,1
Service Assurance Control,(1) TAM Application Type,6.10,Service Assurance Control is responsible for the execution of proactive and reactiverule based activities to ensure that services provided to customers are continuously available and performing according to set values for performance and quality. In cooperation with monitoring and orchestration applications the Service Assurance Control will create an autonomic closed loop control of the performance and quality as well as mitigation of service problems and fall-outs.,"Service Assurance Control Calculation
Service Assurance Deviation Monitoring
Service Assurance Trouble Mitigation",Service Domain,4,,6,10,,,,1,6,2
Service Capability Orchestration,(1) TAM Application Type,6.11,"Service Capability Orchestration application will perform automated service decomposition, service/serices integration, coordination, and management in service deployment, service or connected activation and service element updating. The application function fulfills the needs of orchestration for Operation Support & Readiness, Fulfilment and Assurance and Billing domains applications with regards to Hybrid ecosystem.","Service Instantiation and Lifecycle management support
Service Task Item Configuration and Onboarding
Service Task Item Decomposition
Service Task Item Policy Control Configuration
Service Task Item Sequence Carry Through
Service Task Item Sequence Carry Through Configuration
Service Task Item Sequence Control
Service Task Item Sequence Control Configuration",Service Domain,4,,6,11,,,,1,6,2
Service Lifecycle Management,(1) TAM Application Type,6.12,"Service Lifecycle Management is responsible for the managing the entire lifecycle of the service and its underlying components. This includes all of the processes required to design, build, deploy, maintain and ultimately retire the service. Service Lifecycle Management includes those activities and tools used to define new services and updates to existing services. Generally these activities require a significant degree of collaboration, often across multiple geographic locations. This could even include the gathering of Product needs/preferences and mapping those to current and future service capabilities. There will also be a significant use of project and program management activities and tools to satisfy these functional areas.",,Service Domain,,,6,12,,,,1,6,2
Resource Lifecycle Management,(1) TAM Application Type,7.1,"Lifecycle management is fundamentally responsible for adding, churning and removing network and IT capacity. Where capacity is added, it is made available to subsequent Utilization, Quality and Accounting management.

Lifecycle management provides support for both Operational and Strategy, Infrastructure and Product wings of Business Process Framework.

Eight specialist resource development and management applications are proposed here, in order to their normal sequencing.

1.     Strategic Planning
2.     Capability Specification
3.     Tactical Planning
4.     Resource Specification
5.     Implementation Planning
6.     Planning Design Automation
7.     Spares & Warehouse Inventory
8.     Resource Commissioning & Configuration

These represent distinct, real world planning functions and may consist of sub-functions. They apply to all network engineering for fixed, mobile and cable and IT applications. The term ‘networked resource’ is used for the totality of applications and network used to deliver the applications to consumers over any form of network media.",,Resource Domain,4,Released,7,1,,,,1,7,1
Resource Commissioning & Configuration Management,(2) TAM Application Type,7.1.1,"These applications are responsible for managing and tracking the configuration of the resource (AKA CMDB). These applications typically work in a federated environment, where they rely on other applications for the data","Resource commissioning
Resource configuration Logging
Resource configuration management
Resource configuration verification
Resource topology  verification",Resource Domain,4,Released,7,1,1,,,2,7.1,1
Implementation Planning,(2) TAM Application Type,7.1.2,Implementation Planning is based on graphics rather than inventory data and is used for the local implementation of Tactical Plans at street level and within buildings.,"Local Tactical Plans Implementation
Physical Implementation Information handling
Physical Infrastructure Shortfall Identification
Radio Planning",Resource Domain,4,Released,7,1,2,,,2,7.1,1
Tactical Planning,(2) TAM Application Type,7.1.3,Tactical Planning predominately supports the Operations Support and Readiness area of the Business Process Framework.,Tactical Resource Planning,Resource Domain,4,Released,7,1,3,,,2,7.1,1
Capability Specification Management,(2) TAM Application Type,7.1.4,"This application involves the creation, editing, storage and retrieval of capability specifications. The capability specifications represent the general, common and invariant characteristics of resource that may be realized in more than one type of specific resource. Examples of capability are Layer2, Data, radio and Transport. These specifications are used in the creation of new capability instances mainly in Strategic Planning and are further specified into Resource Instances by Tactical and Implementation Planning.",Resource Capability Specification Management,Resource Domain,4,Released,7,1,4,,,2,7.1,1
Planning Design Automation,(2) TAM Application Type,7.1.5,"‘Planning Design Automation’ is an additional, value-add application, which should also be part of Application Map, but is not present in Application Map r2. It provides automation for both Tactical and Strategic Planning.","Complex Analysis
Design Automation
Network Forecasting Support
Network Views",Resource Domain,4,Released,7,1,5,,,2,7.1,1
Spares & Warehouse Inventory Management,(2) TAM Application Type,7.1.6,Spares and Warehouse Inventory Management applications are responsible for managing the spare parts for the various Elements deployed in the network. Accurate tracking of these spares is necessary to ensure that correct spares are at hand to avoid extended period of downtime and are tightly integrated with the Supply Chain applications.j,"Barcode/RFID tracking of all spares resources
Commercial information of spares register
Spares inventory
Spares Inventory Retrieval Support",Resource Domain,4,Released,7,1,6,,,2,7.1,1
Strategic Planning,(2) TAM Application Type,7.1.8,"The focus of this application is the general network architecture and capacity, together with the strategy for the deployment of network and IT technology within the architecture. It predominately supports processes in Strategy, Infrastructure and Product wing of the Business Process Framework.","Optimum network deployments Determination
Resource demand and trends Analyzing
Strategic Network Sizing Decision Support
Strategic Planning Results Inventory
Strategic sites determination",Resource Domain,4,Released,7,1,8,,,2,7.1,1
Resource Inventory Management,(1) TAM Application Type,7.2,"Resource Inventory applications manage information of all resources used to implement services and products. This application area is typically linked to various element management systems (i.e. building inventory for actual server, applications, network and resource assets) and resource inventory database systems which may or may not be combined with Service Inventory Application(s) or database(s). 

In addition, Resource management applications have a major role to play managing spare parts& passive resources including cable pairs and external plant and passive customer premises equipment. In addition, Resource Inventory applications are used to discover and manage underutilized or ‘stranded’ resources.","Resource Information Model Creation
Resource Inventory Reconciliation
Resource Inventory Retrieval
Resource Inventory Update
Resource Inventory Update Notifications",Resource Domain,4,Released,7,2,,,,1,7,1
Resource Order Management,(1) TAM Application Type,7.3,"Resource Order Management applications manage the end to end lifecycle of a resource order request. This includes validating resource availability as well as the resource order request. 

Other functionality includes resource order issuance, resource and or service order decomposition, and resource order tracking along with orchestrating the activation and the test and turn up processes.

 Notifications will be issued to the Service Order Management during the resource order orchestration process (especially upon completion). Such notification can trigger other steps in the Service Order Management (e.g. resource order completion concludes these steps with Service Order Management). 

In addition, Resource Order Management also provides network design and assignment functionality.",,Resource Domain,4,Released,7,3,,,,1,7,1
Resource Order Orchestration,(2) TAM Application Type,7.3.1,This application component is responsible for managing and tracking the resource order. It will typically communicate with Service Order Management on the North side and the Resource Domain Manager or Resource directly on the South Side,,Resource Domain,4,Released,7,3,1,,,2,7.3,1
Resource Order Tracking & Management,(3) TAM Application Type,7.3.1.1,This application component manages the Resource Order and tracks its jeopardy.,"Resource Order Completions
Resource Order Dependencies Management
Resource Order Jeopardy Tracking
Resource Order Management
Resource orders tracking
Status Reporting",Resource Domain,4,Released,7,3,1,1,,3,7.3.1,1
Resource Service Order Validation,(2) TAM Application Type,7.3.2,Resource Service Order Validation applications provide the required functionality to validate a resource order request.,Resource Order Validation,Resource Domain,4,Released,7,3,2,,,2,7.3,1
Resource Order Data Collection,(3) TAM Application Type,7.3.2.1,Resource Order Data Collection applications gather any needed resource data to aid in the verification and issuance of a complete and valid resource order.,Resource data gathering,Resource Domain,4,Released,7,3,2,1,,3,7.3.2,1
Resource Design / Assign,(2) TAM Application Type,7.3.3,The Resource Design/Assign application addresses both the design of new resources to be included in a network as well as the design of resource configurations which are needed to support new service activations. Assignment is the function which conveys the new designs to those systems which initiate and support the implementation.,"Architecture modifications designing
End-to-end resource designing
Graphical Resource Presentation
Multi-layer design and modeling
New technology and new resource designing
Physical, logical, and software resources designing
Resource design What-if analysing",Resource Domain,4,Released,7,3,3,,,2,7.3,1
Resource Availability,(3) TAM Application Type,7.3.3.1,Resource Availability applications validate that the resource or resources specified on the resource order are available at the specified customer/service location.,Resource availability validation,Resource Domain,4,Released,7,3,3,1,,3,7.3.3,1
Resource Order Configuration Management,(3) TAM Application Type,7.3.3.2,"The Resource Configuration Management application is similar to the service design/ assign functions outlined elsewhere in this publication, but supports aggregate customer facing services. To explain this area in general, it is necessary to see a clear difference between services and networks /resources. Services can be viewed as being comprised of a number of building blocks - e.g. bandwidth, security, maintenance packages, SLAs, QoS, specific features e.g. voicemail.. Service Configuration management might be either the set up of network / resource components for a customer, or a class of customers of a generic service build. Service configuration can be derived from order details in addition to inherent business rules from service specifications and the service view in the Service Inventory Management application.","Cross resource Considering
Resource configuration plan composition
Resource inventory updating
Resource Order Configuration Management
Resource parameters  Reservation
Resource parameters allocation",Resource Domain,4,Released,7,3,3,2,,3,7.3.3,1
Resource Order Publication,(2) TAM Application Type,7.3.4,"Resource Order Publication applications issue valid and complete resource orders, and stores the order into an appropriate data store.",Resource orders issuance,Resource Domain,4,Released,7,3,4,,,2,7.3,1
Resource Domain Management,(1) TAM Application Type,7.4,"Resource Domain Management is the application area that provides exposed resource services that are available to all other application areas, including those others in the Resource Management layer.
Resource Domain Management’s roles are to hide the idiosyncrasies/complexities of the Network and its building blocks (Infrastructure, IT computing, and IT applications equipment etc.) from the rest of the OSS/BSS estate, freeing it to be agile and make it technology and vendor neutral.
Resource Domains are defined as a set of entities building the networks and its building blocks of, Infrastructure, IT computing, IT applications, equipment etc., which have a common set of policies applied to them based on for example technology, topology etc. The general concept of a Domain allows for overlapping, provided there are no policy conflicts. But in principle they should does not operate in any cross-domain capacity.
It is the responsibility of the other Resource Management layer applications to perform any cross-domain functions such as forecasting, capacity planning and design, and or for co-coordinating activation, root cause analysis and performance monitoring.",,Resource Domain,4,Released,7,4,,,,1,7,1
Resource Discovery,(2) TAM Application Type,7.4.1,The resource Discovery applications are responsible for automatically discovering the resources and their details through a management channel. These applications may either communicate directly/indirectly with the Network resources or Resource Element Manager.,Network resources discovery,Resource Domain,4,Released,7,4,1,,,2,7.4,1
Resource Activation,(2) TAM Application Type,7.4.2,Resource activation applications translates a fulfillment request as specific control commands for a network resource or IT resource often handling proprietary messaging with individual resources.,"Resource Activation
Resource Activation Notification and Inventory Update
Resource Activation Orchestration",Resource Domain,4,Released,7,4,2,,,2,7.4,1
Resource Fault & Performance Data Mediation,(2) TAM Application Type,7.4.3,"Resource Data Mediation applications provide integration to network resource and IT resources for all Resource Management functions. These applications take the output from the various resources and re-format the data into a form usable by an application responsible for monitoring fault and performance, such as a status monitoring application. Resource Data Mediation application ensures that the application using the information from various resources is not impacted by the technology/topology/implementation changes of the underlying resources.","Resource data parsing
Resource Data parsing rules tools
Resource Data pattern recognition",Resource Domain,4,Released,7,4,3,,,2,7.4,1
OSS Inventory/Data Synchronization Management,(2) TAM Application Type,7.4.4,"OSS Inventory/Data Synchronization application provide a common inventory view across the applications in Resource Management. This may be a virtual common inventory produced by synchronization of federated inventories, a single inventory system, or some combination of the two.",OSS Inventory/Data Synchronization,Resource Domain,4,Released,7,4,4,,,2,7.4,1
Resource Process Management (Workflow/ Integration),(1) TAM Application Type,7.5,Resource Process Management (Workflow/Integration) involves the workflow planning and integration between resource provisioning and change processes. A vital component in this job is the logistics coordination. Delays and logistic disturbances can have a huge negative impact the resource projects and a jeopardy management with early discovery of disturbances and  that warns for consequences is vital.,,Resource Domain,4,Released,7,5,,,,1,7,1
Resource Change Management,(2) TAM Application Type,7.5.1,"The planning functions& Network Design Automation, Strategic, Tactical and Implementation Planning require change management that connects the activities into a set of planning processes. Strategic Planning needs to interwork with suppliers using Partner Management and Tactical Planning needs to connect out through the authorization and purchasing process to vendor ERPs as part of the supply chain. Network engineering generally relies on manual functions which need to be change managed through Job Control.
These various forms of orchestration are brought together in the Job Control and Delivery Management application.","Resource Change Project management
Resource Change to Financial Control Collaboration
Resource Change Work Collaboration",Resource Domain,4,Released,7,5,1,,,2,7.5,1
Jeopardy Management,(2) TAM Application Type,7.5.3,"This is a function that should be found in any process or workflow management system and warns when a delay in the due date of a task or process step will prevent subsequent tasks from starting, or affect the overall end date of the process.",Workflow/Process Jeopardy Management,Resource Domain,4,Released,7,5,3,,,2,7.5,1
Resource Logistics,(2) TAM Application Type,7.5.4,"Resource logistics applications coordinate the availability and deployment of resources to their in-service locations. These often have a close-coupling with supply chain applications but serve complementary roles. Whereas supply chain applications identify vendors and alternate sources, and manage order fulfillment while seeking to minimize stocking levels& resource logistics applications identify and distribute resource stock where needed as quickly as possible.","Engineering Resource location management
Network Asset Deployment Workflow
People, Part, Event & location coordination
Resource Logistics
Resource needs identification
Resource or kit distribution
Resource problem management
Resource Supply Chain Management
Stock balancing or distribution
Warehouse stock level projections
Workforce management",Resource Domain,4,Released,7,5,4,,,2,7.5,1
Voucher Management,(1) TAM Application Type,7.6,"The Voucher management application handles all aspects of prepaid recharge vouchers. A voucher has a unique serial number and may have a PIN code by which it is identified. The PIN code may be covered, and scratched off in order to use the voucher . Other forms of vouchers include e-vouchers that may have a pin generated only after activation. Customers can use vouchers to recharge their balances by various methods including contacting the call center and providing the CSR with the voucher or via self-service system.

The application performs automation of the voucher lifecycle, and should support a wide variety of voucher types. Voucher Management should also provide encryption, voucher tracking, as well as adress fraud and handle various distribution channels. As such voucher can be placed on the entire gamut of the Resources Domain with strong affiliation to the Billing vertical because of the monetary value of the vouchers.","Voucher Distribution
Voucher Life Cycle Management
Voucher Ordering
Voucher Reporting",Resource Domain,4,Released,7,6,,,,1,7,1
Resource Performance Management,(1) TAM Application Type,7.9,"Resource Performance Management applications monitor, analyze, and report on the performance of the service provider's resources.",,Resource Domain,4,Released,7,9,,,,1,7,1
Resource Performance Monitoring,(2) TAM Application Type,7.9.1,Resource Performance Monitoring applications provide functionality to support data collection and performance monitoringof the service provider's resources.,"Performance monitoring data accumulation
Resource Performance Data aggregation and trending
Resource Performance Data collection
Resource Performance event correlation and filtering",Resource Domain,4,Released,7,9,1,,,2,7.9,1
Resource Performance Analysis,(2) TAM Application Type,7.9.2,Resource Performance Analysis applications provide the necessary functionality to analyze the performance of the various service provider's resources.,Resource Performance Data Analyzing,Resource Domain,4,Released,7,9,2,,,2,7.9,1
Resource Performance Reporting,(2) TAM Application Type,7.9.3,Resource Performance Reporting provides the functionality requiredto generate reports about the performance of the service provider's resources.,Resource Performance Reporting,Resource Domain,4,Released,7,9,3,,,2,7.9,1
Fault Management,(1) TAM Application Type,7.10,"Fault Management applications provide necessary functionality to manage faults associated with specific resources. This includes the detection, isolation, resolution, and reporting of various faults.",,Resource Domain,4,Released,7,10,,,,1,7,1
Fault Surveillance,(2) TAM Application Type,7.10.1,Fault Surveillance applications provide the necessary functionality to monitor the operational status of the service provider's resources.,Operational Status Surveillance,Resource Domain,4,Released,7,10,1,,,2,7.10,1
Fault Correlation & Root Cause Analysis,(2) TAM Application Type,7.10.2,"Fault Correlation & Root Cause Analysis collects the various fault events in the network as well asother relevant information such as network topology,and relates these events, reducing the number of raw events to some smaller number. Root Cause Analysis (RCA) enables the end user to quickly determine the root cause of a problem in the network. These applications have a unique role in mediating network alarms with topology and configuration data.","Alarm Correlation
Root Cause Analysis",Resource Domain,4,Released,7,10,2,,,2,7.10,1
Fault Correction & Restoration,(2) TAM Application Type,7.10.3,Fault Correction & Restoration applications are responsible for repair or replacement offaulty resources.,Fault Correction & Restoration,Resource Domain,4,Released,7,10,3,,,2,7.10,1
Fault Reporting & Analytics,(2) TAM Application Type,7.10.4,Fault Reporting & Analytics applications provide the necessary functionality to provide reports about the various faults within the service provider's network.,"Fault Assurance Metrics Generation
Network Fault Reporting",Resource Domain,4,Released,7,10,4,,,2,7.10,1
Resource Test Management,(1) TAM Application Type,7.11,"Resource Test Management applications are focused on ensuring that the various resources are working properly. The resource test applications are part of both the fulfillment and the assurance process. In the fulfillment process, the resource test is responsible for ensuring that the assigned service works as designed, while on the assurance side the resource testing applications are responsible for fault isolation. As part of the testing process, these applications also interface with the trouble process, which can trigger an automatic test.",,Resource Domain,4,Released,7,11,,,,1,7,1
Resource Test Strategy and Policy Management,(2) TAM Application Type,7.11.1,Resource Test Strategy and Policy Management applications provides the necessary functionality to manage the rules that define the strategies for conducting various resource tests.,"Resource Test result interpretation policy management
Resource Test rules defining",Resource Domain,4,Released,7,11,1,,,2,7.11,1
Resource Test Lifecycle Management,(2) TAM Application Type,7.11.2,Resource Test Lifecycle Management applications provides the necessary functionality to manage the end-to-end lifecycle of a test of a resource.,"Management of resource test head capacity
Management of resource test results
Management of resource testing rules
Reporting of resource test results
Resource end to end test configuration setting up and tearing down
Resource end to end test execution
Resource end to end test results interpretation
Resource end to end test scheduling
Resource test resources acquisition and management
Retrieval of appropriate resource inventory data",Resource Domain,4,Released,7,11,2,,,2,7.11,1
Resource Test Command and Control,(2) TAM Application Type,7.11.3,"The Resource Test Command and Control application provides the necessary functionality to access, command, and control the devices required for resource testing.","Access the various resource test devices
Command and control",Resource Domain,4,Released,7,11,3,,,2,7.11,1
Resource Test Services,(2) TAM Application Type,7.11.4,Resource Test Services applications provides the means to access the testing capabilities.,"Automated invocation of resource test services
Manual resource test services initiation and control",Resource Domain,4,Released,7,11,4,,,2,7.11,1
Resource Verification Management,(2) TAM Application Type,7.11.5,,,Resource Domain,3,Released,7,11,5,,,2,7.11,1
Workforce Management,(1) TAM Application Type,7.12,"Workforce Management applications manage field forces to make optimum use of manpower and other resources such as vehicles. They are used to schedule resources, provide a map of field skill sets and provide forecasting and load balancing capabilities. Workforce Management can be used to manage both internal and externalresources in areas of service assurance,provisioning, routine work, and preventive maintenance.",,Resource Domain,4,Released,7,12,,,,1,7,1
Workforce Schedule Management,(2) TAM Application Type,7.12.1,"Workforce Schedule Management applications provide the necessary functionality to manage the work schedule, appointment schedule and resource scheduleof the dispatchable workforce.",Workforce Scheduling,Resource Domain,4,Released,7,12,1,,,2,7.12,1
Work Order Analysis,(2) TAM Application Type,7.12.2,Work Order Analysis applications provide the necessary functionality to analyze the work order and determine what manual activities are necessary. For such manual activities proper dependencies are set.,Work Order manual activities determination,Resource Domain,4,Released,7,12,2,,,2,7.12,1
Work Order Assignment & Dispatch,(2) TAM Application Type,7.12.3,Work Order Assignment & Dispatch applications provide the required functionality to assignmanual activities (work orders and work items) to dispatchable staff as well as dispatch technicians on assigned work orders and items.,"Dynamic work order assigning
Periodic bulk work order assigning
Work Order Assignment Dispatching",Resource Domain,4,Released,7,12,3,,,2,7.12,1
Work Order Tracking & Management,(2) TAM Application Type,7.12.4,Work order Tracking & Management applications provide the necessary functionality to manage and monitor the execution of the various manual activities via dispatchable staff.,"Close Work orders
Issue work orders
Work and work orders coordination
Work Order Escalation function
Work order Information Transfering
Work Order Re-assigning
Work Order State Management
Work Order Status Monitoring
Work Order updating",Resource Domain,4,Released,7,12,4,,,2,7.12,1
Workforce Configuration and Setup,(2) TAM Application Type,7.12.5,"Workforce Configuration and Setup applications provide the necessary functionality to appropriately configure the Workforce Management application, including the setup of working areas, staff information, activity types and related information, etc.","Geographical work areas management
Workforce appointment schedule configuration.
Workforce dispatchability management
Workforce Forecasting
Workforce manual activities  classification
Workforce staff availability management
Workforce technician training management",Resource Domain,4,Released,7,12,5,,,2,7.12,1
Workforce Management Reporting,(2) TAM Application Type,7.12.6,"Workforce Management Reporting applications provide the necessary functionality to report on the status pertinent Workforce information, including activity and staff data.",Workforce Management Reporting,Resource Domain,4,Released,7,12,6,,,2,7.12,1
Network Number Management,(1) TAM Application Type,7.13,Network Number Management provides the necessary functionality for Number Inventory Management and Number Portability.,,Resource Domain,,,7,13,,,,1,7,2
Network Number Inventory Management,(2) TAM Application Type,7.13.1,Network Number Inventory Management provides the required functionality to manage dialable (telephone numbers) and non-dialable (network routing number) numbers. It can include both land-line and mobility numbers. It also handles ip type addresses (V4 or V6) along with any other network numbers of interest to a service provider. Numbers can be private or public.,"Number Acquisition & Inventory Establishment
Number Aging
Number Assignment
Number Reservation
Number Search
Number Tracking and Reporting",Resource Domain,4,Released,7,13,1,,,2,7.13,1
Number Portability,(2) TAM Application Type,7.13.2,"Number Portability application manages the end to end lifecycle of a portability request. This includes reception, validation of business rules and execution of set of policies, decomposition and orchestration of the request to ensure the correct functionality.In addition, Number Portability application also provides publication, risk & effectiveness management.",,Resource Domain,3,Released,7,13,2,,,2,7.13,1
Number Portability Policy Management,(3) TAM Application Type,7.13.2.1,"Number Portability Policy Management is responsible for managing different types of rules and policies validations, in base of the number portability request.",Number Portability Policy Management,Resource Domain,3,Released,7,13,2,1,,3,7.13.2,1
Number Portability Orchestration,(3) TAM Application Type,7.13.2.2,"Number Portability Orchestration provides workflow and communication mechanism that ensures the orders activation according to a criteria set, allowing in this way the correct execution of orders.",Number Portability Orchestration,Resource Domain,3,Released,7,13,2,2,,3,7.13.2,1
