Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
External Call Center Access,External Call Center Access provides access to call center self empowered fulfillment function providing an internet technology driven interface for the customer to undertake a variety of fulfillment functions directly for themselves.,259,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
External Collection Agency Passing,External Collection Agency Passing provides passing of the collection process on to an Outside Collection Agency.,155,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
External Product Information Exposure,"External Product Information Exposure provides a function to make e.g. dealers self-sufficient to view products, services and promotions data",368,Dealers,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
External Sales Functions Accessing,"External Sales Functions Accessing provides access to  appropriate service provider functions such as funnel, ordering, contracting, etc.",377,Indirect Sales Portals,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Fallout Automated Correction,"Fallout Automated Correction function tries to automatically fix fallouts in workflows before they go to a human for handling. 
This includes a Fallout Rules Engine that provides the capability to handling various errors or error types based on built rules. These rules can facilitate auto correction, correction assistance, placement of errors in the appropriate queues for manual handling, as well as access to various systems",16,Fallout Auto Correction,,Common Domain,Application Framework 21.0 Modification
Fallout Correction Information Collection,Fallout Correction Information Collection collects relevant information for errors or situations that cannot be handled via Fallout Auto Correction. The intent is to reduce the time required by the technician in diagnosing and fixing the fallout.,17,Fallout Correction Assistance,,Common Domain,Application Framework 21.0 Modification
Fallout Dashboard System Log-in Accessing,Fallout Dashboard System Log-in Accessing provides auto logon capability into various applications needed to analyze and fix fallout,23,Fallout Technician Dashboard,,Common Domain,Application Framework 21.0 Modification
Fallout Management to Fulfillment Application Accessing,"Fallout Management to Fulfillment Application Accessing function provides a variety of tools to facilitate Fallout Management access to other applications and repositories to facilitate proper Fallout Management.  This can include various general access techniques such as messaging, publish and subscribe, etc. as well as specific APIs and contracts to perform specific queries or updates to various applications or repositories within the fulfillment domain.",18,Fallout Management Interface Bus,,Common Domain,Application Framework 21.0 Modification
Fallout Manual Correction Queuing,"Fallout Manual Correction Queuing  function provides the required functionality to place error fallout into appropriate queues to be handled via various staff or workgroups assigned to handle or fix the various types of fallout that occurs during the fulfillment process. This includes the ability to create and configure queues, route errors to the appropriate queues, as well as the ability for staff to access and address the various fallout instances within the queues.",19,Fallout Manual Correction Queue Handling,,Common Domain,Application Framework 21.0 Modification
Fallout Notification,"Fallout Notification function provides the means to alert people or workgroups of some fallout situation. This can be done via a number of means, including email, paging, (Fallout management interface bus) etc. This function is done via business rules.",20,Fallout Notification,,Common Domain,
Fallout Orchestration,Fallout Orchestration; The Fallout Orchestration function provides workflow and orchestration capability across Fallout Management.,21,Fallout Orchestration,,Common Domain,
Fallout Reporting,"Fallout Reporting provides various reports regarding Fallout Management, including statistics on fallout per various times periods (per hour, week, month, etc) as well as information about specific fallout.",22,Fallout Reporting,,Common Domain,
Fallout Rule Based Error Correction,"Fallout Rule Based Error Correction function provides the capability to handle various errors or error types based on pre-defined rules. These rules can facilitate auto correction, correction assistance, placement of errors in the appropriate queues for manual handling, as well as access to various systems via the Fallout Interface Bus.",756,Fallout Rules Engine,,Common Domain,Application Framework 21.0 Modification
Fault Assurance Metrics Generation,Fault Assurance Metrics Generation; Fault Analytics & Metrics function collects necessary data to generate fault metrics to support various assurance metrics.,423,Fault Reporting & Analytics,Assurance,Resource Domain,
Financial Batch Validation,Financial Batch Validation and associated error correction functions,808,"Financial Controls, Editing, & Reference Data",,Enterprise Domain,Application Framework 21.0 Modification
Financial Code Assigning,"Financial Code Assigning assigns financial codes to transactions received from billing, online adjustment, payment, refund, and collection processes.",314,Journalization,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Financial Customer Score Updating,"Financial Customer Score Updating updates the customer scoring information, based on events that are significant of payer behavior of the customer (e.g. late payment, delays, etc.)",144,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Financial Data Error Correction,Financial Data Error Correction provides financial editing and associated error correction support function for prior to sending data to the financial ledgers for posting.,807,"Financial Controls, Editing, & Reference Data",,Enterprise Domain,Application Framework 21.0 Modification
Financial Data Reporting,"Financial Data Reporting; Financial Core Operations Reporting function for Financial Controls, Editing & Reference Data Reporting",839,Financial Core Operations Reporting,,Enterprise Domain,
Financial Data Translation,Financial Data Translation and replacement functions,809,"Financial Controls, Editing, & Reference Data",,Enterprise Domain,Application Framework 21.0 Modification
Financial Institution Payment Authorization Linking,Financial Institution Payment Authorization Linking liaises with financial institutions for payment authorization,326,Payment Validation & Authorization,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Financial Institution Reconciliation,Financial Institution Reconciliation supports the reconciliation process with financial institutions,325,Payment Settlement,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Financial Institution Security Verification,Financial Institution Security Verification supports financial institutions’ security standards (e.g. “Verified by Visa” and “MasterCard SecureCode”).,328,Payment Validation & Authorization,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Financial Reference Data Maintenance,Financial Reference Data Maintenance of financial reference data for Financial Control,806,"Financial Controls, Editing, & Reference Data",,Enterprise Domain,Application Framework 21.0 Modification
Financial Systems Application Integration,"Financial Systems Application Integration; Integration function for the Fixed Assets Application
with Accounts Payable and Project Accounting applications",819,Fixed Assets,,Enterprise Domain,
Financial Transaction Routing,Financial Transaction Routing according to financial system rules,810,"Financial Controls, Editing, & Reference Data",,Enterprise Domain,Application Framework 21.0 Modification
Financial Transaction Settlement,Financial Transaction Settlement submits authorized transactions to the financial institutions for settlement.,324,Payment Settlement,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Fixed Assets Depreciation Calculation,Fixed Assets Depreciation Calculation provides Fixed Asset Depreciation Calculation function,817,Fixed Assets,,Enterprise Domain,Application Framework 21.0 Modification
Fixed Assets Journalizing,"Fixed Assets Journalizing provides journal creation for Fixed Assets purchase, depreciation, disposal and transfers",818,Fixed Assets,,Enterprise Domain,Application Framework 21.0 Modification
Fixed Assets Reconciliation,Fixed Assets Reconciliation; General Ledger Account Reconciliation function for Fixed Assets,868,General Ledger Account Reconciliation,,Enterprise Domain,
Fixed Assets Reporting,Fixed Assets Reporting; Capital Lease Management function for Flexible reporting,820,"Financial Core Operations Reporting
Fixed Assets",,Enterprise Domain,
Fleet Lifecycle and Maintenance Planning,Fleet Lifecycle and Maintenance Planning supports the administration of vehicle financing and vehicle maintenance planning.,891,Fleet Management,,Enterprise Domain,
Fleet Logistic Optimization,Fleet Logistic Optimization provides fleet optimization and risk minimizing through route and utilization planning,894,Fleet Management,,Enterprise Domain,Application Framework 21.0 Modification
Fleet Security and Efficiency Management,"Fleet Security and Efficiency Management includes support for driver management, speed management, fuel management and health and safety management.",893,Fleet Management,,Enterprise Domain,
Fleet Tracing and Monitoring,"Fleet Tracing and Monitoring includes equipment tracing through e.g. vehicle telematics (tracking and diagnostics),",892,Fleet Management,,Enterprise Domain,
Foreign Exchange Rates Management,Foreign Exchange Rates Management; Corporate Treasury  function for Management of foreign exchange rates,856,Corporate Treasury,,Enterprise Domain,
Fraud & Anomaly Detection,Fraud & Anomaly Detection function indicates fraudulent use of networks or systems. This is achieved by effective Fraud Management systems coupled with the instrumentation and monitoring that enables potential fraudulent activities to be identified. There are close linkages between fraud identification and anomaly detection.,940,Fraud Management,,Enterprise Domain,Application Framework 21.0 Modification
Fulfillment and SLA Report  Access,Fulfillment and SLA Report  Access provides Self service access to Reports on fulfillment and SLA aspects.,276,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Funnel Assigning,Funnel Assigning provides the necessary functionality to assign sales personnel to leads within a given funnel/pipeline.,375,Funnel/Workflow Management,Readiness & Operations Support,Market Sales Domain,Application Framework 21.0 Modification
Funnel Creation,Funnel Creation provides the necessary functionality to create a new sales funnel or pipeline,374,Funnel/Workflow Management,Readiness & Operations Support,Market Sales Domain,
Funnel Leads Tracking,Funnel Leads Tracking provides the necessary functionality to track and manage the funnel process of the various leads and opportunities.,376,"Funnel/Workflow Management
Sales & Marketing Reporting",Readiness & Operations Support,Market Sales Domain,Application Framework 21.0 Modification
General Ledger Chart of Accounts Maintenance,General Ledger Chart of Accounts Maintenance function for the Chart of Accounts and General Ledger reporting structures,800,General Ledger,,Enterprise Domain,Application Framework 21.0 Modification
General Ledger Compliance,"General Ledger Compliance with multiple legislative, industry or geographic requirements.",801,General Ledger,,Enterprise Domain,
General Ledger Integration,"General Ledger Integration for journals, budgets, reporting, and currency rates, e.g. spreadsheet integration",802,General Ledger,,Enterprise Domain,
General Ledger Month-end Closing,General Ledger Month-end Closing provides General Ledger automated month-end close processing,805,General Ledger,,Enterprise Domain,Application Framework 21.0 Modification
General Ledger Reporting,General Ledger Reporting; Financial Core Operations for General Ledger Reporting,837,Financial Core Operations Reporting,,Enterprise Domain,
General Ledger Secure Access,General Ledger Secure Access function for tight internal controls and access to legal entity and ledger data,799,General Ledger,,Enterprise Domain,Application Framework 21.0 Modification
General Ledger Transaction Retrieval,General Ledger Transaction Retrieval provides General Ledger Robust drilldowns to retrieve underlying transactions,804,General Ledger,,Enterprise Domain,Application Framework 21.0 Modification
Geographical Work Areas Configuration,Geographical Work Areas Configuration provides management of the various geographical working areas (turfs).,559,Workforce Configuration and Setup,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Governmental & Regulatory Reporting,Governmental & Regulatory Reporting provides the necessary functionality to report as required to various Legal and Regulatory bodies.,777,Governmental & Regulatory Tracking & Reporting,,Enterprise Domain,
Governmental & Regulatory Tracking,Governmental & Regulatory Tracking provides the necessary functionality to track the implementation of governmental & regulatory rules or requirements.,776,Governmental & Regulatory Tracking & Reporting,,Enterprise Domain,
Graphical Resource Presentation,"Graphical Resource Presentation; Graphical presentation and visualization of resources, interconnections, or topology",459,Resource Design / Assign,Fulfillment,Resource Domain,
Gross Receipt Tax Calculation,Gross Receipt Tax Calculation function to calculate and submit tax filings for Gross Receipt Tax for all service provider companies and affiliates.,851,Corporate Tax,,Enterprise Domain,Application Framework 21.0 Modification
Guided Customer Information Capturing,"Guided Customer Information Capturing provides a step by step guide at the channel to capture the specific information items to be collected (e.g. customer identification, required product / order and the pertinent data for the order). Including Validation guidance – for each information element, may provide set of valid input",124,"Channel Guidance and Data Capture
Customer Order Establishment",Fulfillment,Customer Domain,Application Framework 21.0 Modification
Guided Eligible Product Selection,Guided Eligible Product Selection provides guided sales view for offer eligible to the customer for self empowered fulfilment. The access function providing an internet technology driven interface for the customer to undertake guided self service product selection.,268,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Identification Card Management,"Identification Card Management; Identification card management with card creation and cancellation, and integration to authentication and authority systems.",896,Employee Identification Management,,Enterprise Domain,
Income Tax Calculation,Income Tax Calculation function to calculate and submit tax filings for Income Tax for all service provider companies and affiliates.,848,Corporate Tax,,Enterprise Domain,Application Framework 21.0 Modification
Installation Preferences Configuration,Installation Preferences Configuration provides customer self empowered fulfillment function of an internet technology driven interface for the customer to undertake installation preferences capture.,269,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Integration Data Format Translation,Integration Data Format Translation provides an integration data format translation function for e.g. Enterprise Applications/Functions,671,Enterprise Application Integration,,Integration Domain,Application Framework 21.0 Modification
Integration Data Transformation,"Integration Data Transformation is an Enterprise Application Integration function for transport of data between applications overcoming possible differences in integration interfaces with support to multiple protocols, automation, security, auditability, monitoring, etc..",670,Enterprise Application Integration,,Integration Domain,Application Framework 21.0 Modification
Intellectual Asset Management,"Intellectual Asset Management; Create, read, update and delete to enable the life cycle management for Internal & external intellectual assets used by the enterprise.
Create, read, update and delete to enable the life cycle management for Internal & external intellectual assets used by the enterprise.",997,Intellectual Asset Management,,Enterprise Domain,
Intellectual Asset Sharing Policies Management,Intellectual Asset Sharing Policies Management provides creation of policies and controls for intellectual assets sharing.,999,Intellectual Asset Management,,Enterprise Domain,Application Framework 21.0 Modification
Intellectual Asset Usage Tracking,Intellectual Asset Usage Tracking; Tracking the use and preventing the violation of Intellectual assets.,998,Intellectual Asset Management,,Enterprise Domain,
Inter Product Dependency Identification,"Inter Product Dependency Identification identifies product dependencies, binds new order to purchased product or point to the dependent product required",182,"Customer and Product Data Collection
Offer Configuration",Fulfillment,Customer Domain,Application Framework 21.0 Modification
Intercompany Cash Settlement,Intercompany Cash Settlement provides a corporate treasury function for Intercompany cash settlements,858,Corporate Treasury,,Enterprise Domain,Application Framework 21.0 Modification
Internal Recommended Action Guiding,"Internal Recommended Action Guiding gives recommendations and a guided action flow to complete the suitable customer treatment for Inbound, Self-Service or Call Center touch points (ex. Credit Adjustment handled by agent, or bill dispute initiation via self-service)",240,Customer Recommended Action,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
International Settlements Regulatory Accounting,"International Settlements Regulatory Accounting function for International settlements to comply with federal regulations. In the US, it is specially Title 47, Part 64 (Telecommunication - Miscellaneous Rules Relating to Common Carriers).",874,Regulatory Accounting,,Enterprise Domain,Application Framework 21.0 Modification
Investment Accounts Reconciliation,Investment Accounts Reconciliation; General Ledger Account Reconciliation function for Investment Accounts,864,General Ledger Account Reconciliation,,Enterprise Domain,
Invoice and Payment Status Retrieval,Invoice and Payment Status Retrieval provides Accounts Payable Invoice and payment status inquiries support.,814,Accounts Payable,,Enterprise Domain,Application Framework 21.0 Modification
Invoice Balance Calculation,Invoice Balance Calculation; Provides the means to calculate the balance due for an invoice/bill.,309,Invoice Generation,Billing & Revenue Management,Customer Domain,
Invoice Charges Compilation,"Invoice Charges Compilation assembles charges (including charge distribution- charges incurred by other customers), credits, taxes, fees and adjustments that affect the balance due.",310,Invoice Generation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Invoice Detail Collection,Invoice Detail Collection; Provides appropriate levels of detail regarding  items on the invoice.  This detail is provided to revnue reporting and/or Bill Format & Render.,312,Invoice Generation,Billing & Revenue Management,Customer Domain,
Invoice Items Listing,Invoice Items Listing lists all invoice items for a specific invoice,62,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Invoice Listing,Invoice Listing function will list all invoices for a customer both over time and for customers with multiple invoices.,63,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Invoice Tax Calculation,"Invoice Tax Calculation provides the necessary functionality to calculate taxes, including surcharges and fees, where applicable. 
This function can occur within the Invoicing application or through the use of an external Tax module.",329,Tax Calculation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Invoice Totals Calculation,Invoice Totals Calculation; Provides subtotals and totals at various levels.,311,Invoice Generation,Billing & Revenue Management,Customer Domain,
Journal Entry Accumulation,Journal Entry Accumulation accumulates journal entries and maps them to the GL transaction based on criteria such as appropriate geographical accounting principles for sending downstream to the corporate general ledger.,313,Journalization,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Journal Record Creation,"Analyzes and translates financial activities into journal records, ready for accumulation or sending downstream to the corporate general ledger.",315,Journalization,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Knowledge Identification,Knowledge Identification identifies enterprise vital knowledge from internal and external sources.,1007,Knowledge Acquisition & Documentation,,Enterprise Domain,Application Framework 21.0 Modification
Knowledge Labeling,Knowledge Labeling provides labelling of the knowledge item for the documentation and future use.,1008,Knowledge Acquisition & Documentation,,Enterprise Domain,Application Framework 21.0 Modification
Knowledge Lifecycle Management,Knowledge Lifecycle Management is managing the Lifecycle of the knowledge content.,1003,Knowledge Hosting and Sharing,,Enterprise Domain,Application Framework 21.0 Modification
Knowledge Sharing Policy Processing,Knowledge Sharing Policy Processing Applies rules and policies for sharing of knowledge.,1004,Knowledge Hosting and Sharing,,Enterprise Domain,Application Framework 21.0 Modification
Knowledge Sharing,Knowledge Sharing is making the knowledge available to internal and external stake holders.,1005,Knowledge Hosting and Sharing,,Enterprise Domain,Application Framework 21.0 Modification
Knowledge Support Access,Knowledge Support Access provides customer browsing function to undertake Self Service access to Knowledge Management database & solutions to common problems,270,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Knowledge Tailoring,Knowledge Tailoring provides tailoring of the knowledge items for different discovery and listing requirements.,1006,Knowledge Hosting and Sharing,,Enterprise Domain,Application Framework 21.0 Modification
Labor Relations Support,"Labor Relations Support provides the following functionality:
• Negotiates Labor Agreements 
• Creates Labor Policy 
• Manages Grievances  
• Ensures Labor Agreement compliance",793,Labor Relations,,Enterprise Domain,Application Framework 21.0 Modification
Late Arrival Usage Charges/Credits Recalculation,"Late Arrival Usage Charges/Credits Recalculation provides recalculation of charges/credits based on information received later (e.g. from the Service Level Agreement function, delayed call detail record file arrival, delayed order arrival). Recalculation may be necessary: pre-billing (prior to Bill Calculation), during the Bill Calculation process, and/or post-billing.",128,Charge Calculation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Lawful Interception,Lawful Interception; Provide function for Lawful Interception for the purpose of analysis or evidence.,905,Lawful Interception,,Enterprise Domain,
Legal Assistance Support,"Legal Assistance Support function provides administrative system support for the Administrative Legal Services dealing with assistance and advice on issues such as procurement, contracting, public law and related activities.",944,Legal,,Enterprise Domain,Application Framework 21.0 Modification
Local Tactical Plans Implementation,Local Tactical Plans Implementation implements tactical plans locally at individual CSP sites and at street level.,425,Implementation Planning,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Location Change History Management,"Location Change History Management; Tracks all changes of location data, making available attributes according their historical values in certain periods.",429,Location Management,Readiness & Operations Support,Resource Domain,
Location Data Integrity Management,Location Data Integrity Management provides ability to maintain data integrity in the whole location repository. It’s especially important if there are many external data sources that deliver new addresses for the repository.,434,Location Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Location Information Searching,"Location Information Searching provide the ability to search for a provided location/address, as part of the Location Management, including the ability to return near matches if an exact match is not found.",432,Location Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Location Information Updating,Location Information Updating provides means to update the repository with new/updated location information  from external sources.,431,Location Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Location Structure Data Configuration,"Location Structure Data Configuration provides facilities for creating, modifying and deleting location structures data according to business rules of Service Providers or national and international location regulations. Also  utilities for defining sets of location attributes, levels and hierarchies should be available.",433,Location Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Logical and Software Resources Designing,"Logical and Software Resources Designing supports physical, logical, and software design of resources including definition of configuration variables and initial parameters",1064,Resource Design / Assign,Fulfillment,Resource Domain,Application Framework 21.0 Modification
Loyalty and Retention Management Support,"Loyalty and Retention Management Support function undertakes trend analysis on loyalty and retention, including customer acquisitions and churn.
It comprises:
• Follow-up of the churn rate: Development of a report in order to measure by period (periodicity: weekly, monthly, yearly…),
• The number and rate of terminations by product & service,
• The trend of the churn rate according to the previous periods.
• Prediction of the churn (anticipate in order to minimize the attrition): identification of the potential churner profiles from a predictive model analyzing the churner profiles according to the previous periods.",194,Customer Experience Monitoring,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Management  Data Integration Access,Management  Data Integration Access provides access to integration services for data management to Data Dictionaries.,917,DM Data Integration & Context(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Management Data Retrieval,Management Data Retrieval provide  services to extract enterprise data from multiple Target Databases.,914,DM Access & Transformation(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Manual Collection Treatment Assigning,Manual Collection Treatment Assigning assigns a Customer Service Representative or a Customer Service Representative group to manually handle the collection.,143,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Manual Resource Test Operation Control,Manual Resource Test Operation Control controls manual resource test services via a user interface (GUI) function that provides the means to access the testing capabilities.,517,Resource Test Services,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Manual Service Test Invocation,Manual Service Test Invocation provides a user interface (GUI) function that provides the means to access the testing capabilities.,582,Service Test Services,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Marketing & Offer Strategies Implementation,Marketing & Offer Strategies Implementation function for the creation of the marketing & offer strategy as part of the Product Lifecycle Management (PLM) that includes all of the marketing and offer aspects of a Product Offering.,405,Product Lifecycle Management,Lifecycle Management,Product Domain,Application Framework 21.0 Modification
Marketing Information Sharing,"Marketing Information Sharing provides dashboard views, alerts, and notifications to marketing organizations with the insight and agility needed to protect and optimize marketing investments.",354,Campaign Performance Tracking,Readiness & Operations Support,Market Sales Domain,Application Framework 21.0 Modification
Marketing Insight Campaign Reporting.,Marketing Insight Campaign Reporting. provides pre-built campaign performance and market Insight reporting.,355,Campaign Performance Tracking,Readiness & Operations Support,Market Sales Domain,Application Framework 21.0 Modification
Mass Service Pre-activation,Mass Service Pre-activation of products and product services to prepare for a swift activation at sales. E.g sub-sequent affiliate sales.,342,Affiliates,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Mass Transaction Ordering,Mass Transaction Ordering feed function of new orders. For bulk sales by e.g. affiliates and corporate customer self empowered fulfillment provided e.g. by an internet technology driven interface for bulk ordering.,343,"Affiliates
Customer Self Empowered Fulfillment",Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Material Warehousing,"Material Warehousing is a Logistics Management functionality for Put-away of materials to targeted storage locations and Picking of materials to fulfill orders 
including Staging and assembly of materials as required",754,Logistics Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Minimum Allowable Balance Setting,Minimum Allowable Balance Setting; Record definition of policies per balance or balance type of Minimum Allowable Balance limit (e.g. balance must remain above zero).,45,Balance Management,Billing & Revenue Management,Customer Domain,
Multi-layer Design and Modeling Support,"Multi-layer Design and Modeling Support provides real world multi-layer modeling and design (physical, data, transport, ...)",460,Resource Design / Assign,Fulfillment,Resource Domain,Application Framework 21.0 Modification
Multi-ledger Financial Reporting,"Multi-ledger Financial Reporting for real-time, enterprise-wide visibility",803,General Ledger,,Enterprise Domain,
Multiple Simultaneous Balance Updating,Multiple Simultaneous Balance Updating provides support for multiple simultaneous sessions that affect a common balance.,54,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Network Asset Leasing Calculation,Network Asset Leasing Calculation function to calculate and submit tax filings for Network Asset Leasing for all service provider companies and affiliates.,853,Corporate Tax,,Enterprise Domain,Application Framework 21.0 Modification
Network Deployment Optimization,"Network Deployment Optimization determines optimum network deployments, such as tier structuring and resilient topologies.",525,Strategic Planning,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Network Facility Selection,Network Facility Selection function selects and assigns appropriate network facility route(s) and configures facility equipment per engineering rules as well as obtains new assets from network plan and build (capacity management) if required.,569,Assign/Procure Network Resources,Fulfillment,Service Domain,Application Framework 21.0 Modification
Network Fault Reporting,"Network Fault Reporting; The Network Fault Reporting function provide the necessary functionality to provide reports about the various faults within the service provider's network, including the archival of these reports.  This can include standard periodic operational reports as part of running the network to special reports requested by Root Cause Analysis.",422,Fault Reporting & Analytics,Assurance,Resource Domain,
Network Forecasting,Network Forecasting support forecasting functionality to be applied at different levels of detail and over different time frames. Some types of forecast are more relevant to Strategic and others more relevant to Tactical Planning. Both product volume forecasts and utilization trends are relevant to this automation function,441,Planning Design Automation,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Network Overviews Presentation,Network Overviews Presentation provides a more generalized view of the network than found in resource management.,442,Planning Design Automation,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Network Planning Analyzing,"Network Planning Analyzing provides complex algorithmic and heuristic analysis capability for network planning and make use of market forecasts and utilization trends, and can be used to optimize the network for capacity and resilience",444,Planning Design Automation,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Network Resources Scanning,Network Resources Scanning functions are responsible for discovering the resources and their details through out a management channel. These functions may either directly communicate with the Network resources or communicate through a Resource Domain Manager. The functions should be able to support retrieving the overall resource information or the detailed resource information which can include sub-components.,464,Resource Discovery,"Assurance
Billing & Revenue Management
Fulfillment
Readiness & Operations Support",Resource Domain,Application Framework 21.0 Modification
New Product Introduction and Maintenance,"New Product Introduction and Maintenance; Introduce and maintain new products as part of the Product Lifecycle Management (PLM) in appropriate systems e.g. Product Catalogue. For Product Offerings, it permits to define and update :
- commercial name and characteristics of the offer
- subscription and packaging rules
- tariffs specifications
- link with the commercialized products",406,Product Lifecycle Management,Lifecycle Management,Product Domain,
New Resources Designing Support,New Resources Designing Support provides support for new technology and new resource designing.,461,Resource Design / Assign,Fulfillment,Resource Domain,Application Framework 21.0 Modification
New Service Catalog Updating,New Service Catalog Updating introduces and maintains new services as part of the Service Lifecycle Management (SLM) in appropriate systems e.g. Service Catalogue.,567,Service Catalog Management,Lifecycle Management,Service Domain,Application Framework 21.0 Modification
Number Acquisition,Number Acquisition manages the capturing of numbers for the number inventory,1062,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,
Number Aging,Number Aging; Manages the aging of numbers before they can be re-assigned.,436,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,
Number Assigning,Number Assigning manages the assignment of numbers for usage.,437,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Number Inventory Establishing,Number Inventory Establishing manages the establishment of a number inventory.,435,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Number Portability Orchestration,"Number Portability Orchestration communication mechanism that ensures the orders activation according to a criteria set, allowing in this way the correct execution of orders",743,Number Portability Orchestration,Readiness & Operations Support,Resource Domain,
Number Portability Policy Management,"Number Portability Policy Management: Management that regulates policies, standards, definitions and restrictions defined by the entities involved in Number Portability (country-specific regulatory entities).",742,Number Portability Policy Management,Readiness & Operations Support,Resource Domain,
Number Portability Risk & Effectiveness Management,"Number Portability Risk & Effectiveness Management for determine of threats, risks and control of fulfillment, in order to comply with the execution of all Number Portability orders.",744,Number Portability Risk & Effectiveness Management,Readiness & Operations Support,Resource Domain,
Number Portability Validation,"Number Portability Validation can perform calculations that determine whether the information received is reliable, safe and contains the minimum information required during implementation, enabling with this the orders rejection for those who do not comply with the defined criteria.",745,Number Portability Validation,Readiness & Operations Support,Resource Domain,
Number Reservation,Number Reservation; Provides the functionality to manage the reservation of numbers.,438,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,
Number Searching,Number Searching provides the means to search the number inventory.,439,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Number Tracking and Reporting,Number Tracking and Reporting; Provides functionality to track numbers and perform number reporting.,440,Network Number Inventory Management,Readiness & Operations Support,Resource Domain,
Off-Line Contact Channel Management,"Off-Line Contact Channel Management provides the means to capture and manage activities that cannot or were not completed via an online channel contact. It also provides the means to place an activity on the “off line” queue that originated from an off-line channel such as email, postal mail, fax, etc.
Note: An activity can be completed on a different channel from which the request originated.",167,Off-Line Contact Channel Management,Readiness & Operations Support,Customer Domain,
Offer and Product Configuration,"Offer and Product Configuration; The Offer and Product Configuration function enables the configuration of the commercial offer chosen by the customer. 

The configuration recovers the choice of an option, the choice of the functions values ...

It can be based on product configurator using a rule engine.

It can be used at the same time by Selling, Order Establishment or Develop Sales Proposal Business activities.",207,Customer Order Establishment,Fulfillment,Customer Domain,
On Demand Bill Calculation,On Demand Bill Calculation function will invoke a bill calculation on demand for e.g. a purchase.,61,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Onboarded Product Licensing,"Onboarded Product Licensing function manages the linking of license information of the onboarded product to technical, procurement and agreement conditions.",1052,Partner Product Offering Onboarding,Lifecycle Management,Business Partner Domain,
